sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
598,0,0.055,35,38,1300,0.0630319890028993,0.13684210526315782
931,0,0.055,15,87,1300,0.0019179820007106,0.019923371647509458
764,0,0.055,27,49,1300,0.0002280285383308,0.006878306878306759
98,0,0.055,20,65,1300,0.0032394549771326,0.02099999999999993
265,0,0.055,36,37,1300,0.0441763916364714,0.2108108108108107
433,0,0.055,16,85,1300,0.3464182544577873,0.3374264705882353
599,0,0.055,21,64,1300,0.0085501024727182,0.03772321428571423
932,0,0.055,24,56,1300,0.0013133973918177,0.02611607142857141
765,0,0.055,16,86,1300,0.1569587087440141,0.2503633720930233
99,0,0.055,15,89,1300,0.0008840520645213,0.01947565543071161
434,0,0.055,16,86,1300,0.0493548100630917,0.13415697674418597
266,0,0.055,15,90,1300,0.0082761553550166,0.05296296296296291
600,0,0.055,36,37,1300,0.0004467890477247,0.020495495495495408
933,0,0.055,24,56,1300,0.056386134431257,0.11897321428571422
766,0,0.055,55,24,1300,0.2981920234090993,0.41363636363636364
100,0,0.055,31,42,1300,0.0469104307362612,0.14777265745007673
435,0,0.055,17,80,1300,0.0404767275445846,0.15676470588235286
267,0,0.055,87,15,1300,0.0057199050763542,0.0418390804597701
601,0,0.055,77,17,1300,5.28284831216494e-06,0.0
934,0,0.055,31,42,1300,0.0395549790734595,0.13479262672811052
767,0,0.055,19,72,1300,0.7269265747399778,0.5302631578947368
101,0,0.055,16,84,1300,0.1366680156932983,0.21569940476190472
436,0,0.055,31,43,1300,0.0005390173257521,0.01462865716429104
268,0,0.055,23,59,1300,0.0708882728549082,0.1810611643330876
602,0,0.055,19,72,1300,0.0608021802252543,0.14064327485380107
935,0,0.055,52,25,1300,0.0065093692316969,0.043999999999999935
768,0,0.055,19,72,1300,0.2736869822859064,0.3173976608187134
102,0,0.055,31,42,1300,0.4754414824108486,0.5221966205837173
437,0,0.055,20,68,1300,0.0007190074154825,0.0172058823529411
269,0,0.055,29,45,1300,9.0847506784153e-05,0.0039846743295018396
603,0,0.055,16,86,1300,0.0043065823654049,0.03117732558139524
936,0,0.055,15,88,1300,0.1025092630946633,0.12901515151515147
769,0,0.055,17,79,1300,0.0522797647084473,0.1945644080416977
103,0,0.055,17,79,1300,0.4688003550852667,0.4772151898734177
438,0,0.055,82,16,1300,0.3431582882425084,0.41318597560975606
270,0,0.055,15,90,1300,6.734262849597445e-05,0.00481481481481481
604,0,0.055,29,45,1300,0.0003173108921444,0.005977011494252759
937,0,0.055,19,71,1300,0.0842905384834407,0.1753891771682727
104,0,0.055,14,99,1300,0.0977303189276231,0.22604617604617605
770,0,0.055,100,13,1300,0.0038274188648877,0.04699999999999993
439,0,0.055,20,65,1300,0.0549851827843042,0.09399999999999999
271,0,0.055,22,60,1300,0.0007491859492311,0.02757575757575756
938,0,0.055,15,90,1300,1.4846233672741269e-05,0.00288888888888886
605,0,0.055,45,29,1300,0.0128813388701112,0.08567049808429113
105,0,0.055,15,92,1300,0.0031006644177868,0.0405072463768115
771,0,0.055,37,36,1300,0.1858049580035853,0.20885885885885877
440,0,0.055,29,46,1300,0.4382910192589307,0.44047976011993994
272,0,0.055,15,88,1300,0.0153564087559767,0.0728787878787878
606,0,0.055,55,24,1300,0.0047121471666225,0.0403787878787878
939,0,0.055,14,98,1300,0.3103423470299126,0.343002915451895
772,0,0.055,14,95,1300,0.023995862976821,0.13293233082706757
106,0,0.055,130,10,1300,0.0754556838928942,0.10999999999999999
441,0,0.055,14,96,1300,0.0004323651311761,0.00870535714285705
273,0,0.055,33,40,1300,0.0551269363845465,0.21568181818181817
940,0,0.055,20,67,1300,0.009426837698125,0.05141791044776113
607,0,0.055,26,51,1300,0.0194717566132821,0.08921568627450972
107,0,0.055,14,93,1300,0.0023865794287531,0.025960061443932328
773,0,0.055,55,24,1300,0.3195116688303833,0.4540151515151514
274,0,0.055,36,37,1300,0.0071187516858869,0.0351351351351351
442,0,0.055,20,66,1300,0.1919673229007035,0.30234848484848476
941,0,0.055,69,19,1300,0.0086124344490709,0.07734553775743705
108,0,0.055,82,16,1300,0.0090818183524108,0.07332317073170726
774,0,0.055,19,69,1300,0.2765406764421358,0.3232646834477498
608,0,0.055,73,18,1300,0.3668142694148599,0.4254185692541857
275,0,0.055,37,36,1300,0.0083714459152682,0.03318318318318315
443,0,0.055,40,33,1300,0.0003258820339429,0.02068181818181817
942,0,0.055,14,94,1300,0.0087424520164596,0.06519756838905764
775,0,0.055,21,62,1300,0.0022476249021637,0.029953917050691142
109,0,0.055,39,34,1300,0.0074543519972444,0.03529411764705879
609,0,0.055,36,37,1300,0.0028805363842949,0.020495495495495408
444,0,0.055,14,93,1300,0.0154049086320859,0.07388632872503831
276,0,0.055,16,84,1300,0.0249757495593441,0.0609375
943,0,0.055,20,65,1300,0.2750311247560251,0.3469999999999999
110,0,0.055,15,87,1300,0.0111013377348479,0.1095785440613027
776,0,0.055,15,90,1300,0.2470744536144041,0.3081481481481481
610,0,0.055,52,25,1300,0.1585621524599226,0.21899999999999994
445,0,0.055,17,80,1300,0.1816929757568942,0.2122058823529411
277,0,0.055,24,55,1300,0.0077080954704457,0.07878787878787878
944,0,0.055,55,24,1300,0.0070368886652312,0.09356060606060598
777,0,0.055,17,81,1300,0.1691768441255974,0.27000726216412485
111,0,0.055,29,45,1300,0.2217608348904228,0.33770114942528734
446,0,0.055,16,84,1300,0.0420139024965874,0.10833333333333328
611,0,0.055,45,29,1300,0.0163906172748424,0.1175478927203065
278,0,0.055,39,34,1300,0.0123471315945504,0.06372549019607836
945,0,0.055,17,79,1300,0.000391633746088,0.0096798212956068
112,0,0.055,14,93,1300,0.1566121756519846,0.26858678955453147
778,0,0.055,73,18,1300,0.1074373897515493,0.22458143074581424
447,0,0.055,24,56,1300,0.2610782122558376,0.2969494047619047
612,0,0.055,28,48,1300,0.073550520758017,0.16346726190476188
946,0,0.055,15,88,1300,0.0357825430455994,0.09651515151515144
279,0,0.055,41,32,1300,0.0050432296735064,0.050533536585365725
113,0,0.055,31,42,1300,0.230815852137996,0.31751152073732714
779,0,0.055,26,50,1300,0.1350536337935992,0.228
